Relative GIT Repository,Layer subdirectory in repository,Tag/Branch to checkout in develop MSC-LDK branch
meta-qt5,,c1b0c9f546289b1592d7a895640de103723a0305
meta-rz-features,meta-rz-codecs,dunfell
meta-rz-features,meta-rz-graphics,dunfell
meta-renesas,meta-rz-common,dunfell
meta-renesas,meta-rzg2l,dunfell
meta-renesas,meta-rzv2l,dunfell
meta-openembedded,meta-networking,dunfell
meta-openembedded,meta-python,dunfell
meta-openembedded,meta-oe,dunfell
meta-openembedded,meta-multimedia,dunfell
meta-openembedded,meta-filesystems,dunfell
